cluster_id,prompt_id,model,generated_label,reference_label,llm_metrics
20,P3,finetuned,Order Delivery Status and Arrival Time Inquiries,Order and Shipment Status Tracking Inquiry,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking delivery/arrival information, uses appropriate terminology ('Order Delivery Status' and 'Arrival Time'), and is nearly equivalent to the reference with only minor stylistic differences in phrasing specificity.""}"
7,P5,finetuned,Requests to connect with or locate an available assistant,How to connect with or reach a live assistant,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of users seeking to connect with an assistant, is appropriately specific without being overly narrow, and conveys essentially the same meaning as the reference label with only minor word choice variations ('locate an available' vs 'reach a live').""}"
0,P2,finetuned,Customer Service Hours and Availability Inquiry,Customer service hours inquiry and availability information requests,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of inquiries about customer service contact hours and availability, though it is slightly more concise than the reference label while maintaining sufficient specificity to distinguish this cluster from other support categories.""}"
8,P3,finetuned,Unable to Connect with Live Agent or Representative,Unable to Connect with Support Agent or Representative,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue (inability to reach someone for support) and is nearly equivalent to the reference, with 'Live Agent' being slightly more specific than 'Support Agent' while maintaining the same meaning and appropriate specificity for cluster distinction.""}"
7,P2,finetuned,Difficulty finding or accessing assistant contact information and communication channels,Unable to locate or contact customer support assistant,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.0, ""reasoning"": ""The candidate label accurately captures the core issue (difficulty contacting/accessing an assistant) and is specific enough to distinguish this cluster, though it is slightly more technical/formal in tone and slightly broader in scope than the reference label which emphasizes inability to locate or contact support.""}"
20,P2,finetuned,Order delivery timeline and arrival date inquiries,Order delivery status and arrival date tracking,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking when orders/purchases will arrive, is sufficiently specific to distinguish this cluster from other support categories, and is semantically very similar to the reference label with only minor terminology differences ('timeline' vs 'status' and 'inquiries' vs 'tracking').""}"
8,P1,finetuned,Difficulty locating or contacting live support agents or representatives,Customer requests to connect with human support representative,"{""faithfulness"": 2, ""specificity"": 3, ""equivalence"": 2, ""composite"": 2.3333333333333335, ""reasoning"": ""The candidate label introduces 'difficulty' and 'locating' which are not evident in the tickets\u2014customers are requesting/wanting to speak with someone, not reporting problems finding support\u2014making it less faithful while being somewhat more specific but significantly different in meaning from the reference.""}"
7,P1,finetuned,Difficulty finding or contacting live assistant support,Confusion about how to contact or reach a live assistant,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue of users not knowing how to reach an assistant, is appropriately specific without being overly narrow, and conveys essentially the same meaning as the reference label with slightly more explicit emphasis on 'live' support and 'finding' (whereas reference emphasizes 'confusion').""}"
3,P1,finetuned,Customer Service Contact Information and Support Channel Inquiries,Difficulty finding customer service contact information and communication channels,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue of tickets seeking customer service contact methods, is appropriately specific to distinguish this cluster, and conveys essentially the same meaning as the reference label though with slightly different framing (direct vs. difficulty-focused).""}"
3,P2,finetuned,Difficulty finding customer service contact information and communication channels,Customers unable to find contact information or communication channels for customer service,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""The candidate label accurately captures the core issue across all tickets (customers seeking ways to contact customer service), maintains appropriate specificity by identifying both the problem (difficulty finding) and the target (contact information and communication channels), and conveys essentially the same meaning as the reference label while using slightly more concise phrasing.""}"
8,P4,finetuned,Difficulty locating or contacting live support agents or representatives,Unable to reach or connect with a human agent or representative,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.0, ""reasoning"": ""The candidate label accurately captures the core issue of users struggling to connect with human support, uses appropriate specificity to distinguish this cluster, and conveys essentially the same meaning as the reference label with only minor wording differences ('difficulty locating or contacting' vs 'unable to reach or connect with').""}"
8,P5,finetuned,Requests to connect with a live support representative or agent,Requests to connect with a live support representative or agent,"{""faithfulness"": 5, ""specificity"": 5, ""equivalence"": 5, ""composite"": 5.0, ""reasoning"": ""The candidate label is identical to the reference label and accurately captures the core intent of all tickets, which express requests to communicate with a human support representative.""}"
3,P5,finetuned,Customer Service Contact Information and Support Channel Inquiries,Customer service contact information and communication channel requests,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 5, ""composite"": 4.666666666666667, ""reasoning"": ""The candidate label accurately captures the core theme of tickets requesting customer service contact methods and communication channels, with nearly identical meaning to the reference label and appropriate specificity for distinguishing this cluster type.""}"
7,P3,finetuned,Unable to Connect with Live Assistant or Representative,How to Contact or Reach an IT Support Assistant,"{""faithfulness"": 2, ""specificity"": 3, ""equivalence"": 2, ""composite"": 2.3333333333333335, ""reasoning"": ""The candidate label misrepresents the tickets as inability/failure to connect rather than uncertainty about how to initiate contact, and adds 'live' and 'representative' concepts not present in the tickets, making it less faithful and equivalent to the reference label while maintaining moderate specificity.""}"
8,P2,finetuned,Difficulty locating or contacting live support agents or representatives,Customer unable to reach live agent or connect with support representative,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.0, ""reasoning"": ""The candidate label accurately captures the core issue of customers struggling to connect with support staff, uses appropriately specific language about live agents/representatives, and conveys nearly identical meaning to the reference label with only minor wording differences.""}"
