cluster_id,prompt_id,model,generated_label,reference_label,llm_metrics
20,P3,baseline,Customer Order Delivery Tracking and Status Inquiry,Order and Shipment Status Tracking Inquiry,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core theme of tracking order/shipment status and delivery timing, is appropriately specific for distinguishing this cluster type, and is semantically equivalent to the reference label with only minor wording differences in emphasis (delivery tracking vs. shipment status).""}"
7,P5,baseline,Requesting Assistance with Chat or Voice Support Options,How to connect with or reach a live assistant,"{""faithfulness"": 3, ""specificity"": 2, ""equivalence"": 2, ""composite"": 2.3333333333333335, ""reasoning"": ""The candidate label introduces 'chat or voice support options' which aren't mentioned in the tickets, overcomplicates the simple request to connect with an assistant, and is less direct than the reference label's focus on reaching/connecting with a live assistant.""}"
0,P2,baseline,Contacting Customer Service Hours Inquiry,Customer service hours inquiry and availability information requests,"{""faithfulness"": 4, ""specificity"": 4, ""equivalence"": 3, ""composite"": 3.6666666666666665, ""reasoning"": ""The candidate label accurately captures the core theme of inquiries about customer service hours, but is slightly less comprehensive than the reference label which explicitly mentions 'availability information requests' as a broader concept, making the reference label marginally more equivalent in scope.""}"
8,P3,baseline,Customer Service Phone Support Assistance Requests,Unable to Connect with Support Agent or Representative,"{""faithfulness"": 2, ""specificity"": 3, ""equivalence"": 1, ""composite"": 2.0, ""reasoning"": ""The candidate label focuses on 'phone support' and 'customer service' which are not evident in the tickets, whereas the tickets clearly express difficulty or inability to connect with a representative/agent, making the candidate label unfaithful to the actual content and minimally equivalent to the reference label.""}"
7,P2,baseline,Difficulty with initiating or understanding assistant-related interactions,Unable to locate or contact customer support assistant,"{""faithfulness"": 4, ""specificity"": 3, ""equivalence"": 2, ""composite"": 3.0, ""reasoning"": ""The candidate label accurately captures the core issue (difficulty contacting/interacting with support), but uses more abstract language ('assistant-related interactions') rather than directly addressing the inability to locate or contact support, making it less equivalent to the reference while being somewhat vague about the specific problem.""}"
20,P2,baseline,Customer Inquiry about Tracking and Delivery Status,Order delivery status and arrival date tracking,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core intent of all tickets (tracking delivery/arrival information) and is appropriately specific, though it uses slightly more generic phrasing ('Customer Inquiry about') compared to the reference label's more direct terminology.""}"
8,P1,baseline,Customer Support for Difficulty with Verbal Communication with Representatives,Customer requests to connect with human support representative,"{""faithfulness"": 2, ""specificity"": 2, ""equivalence"": 1, ""composite"": 1.6666666666666667, ""reasoning"": ""The candidate label misinterprets the tickets as being about difficulty with verbal communication itself, when they are actually about customers requesting to connect with or speak to a support representative; the label is also overly focused on a narrow interpretation unrelated to the core request.""}"
7,P1,baseline,Customer Difficulty Accessing Live Chat or Phone Support with Assistants,Confusion about how to contact or reach a live assistant,"{""faithfulness"": 3, ""specificity"": 4, ""equivalence"": 2, ""composite"": 3.0, ""reasoning"": ""The candidate label accurately captures the core issue (difficulty contacting support), is appropriately specific with mention of 'live chat or phone support', but diverges from the reference by being more prescriptive about contact methods rather than focusing on the confusion itself, and uses different terminology ('accessing' vs 'contacting/reaching').""}"
3,P1,baseline,Customer Service Contact Information and Accessibility Issues,Difficulty finding customer service contact information and communication channels,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue of customers struggling to locate and access customer service contact methods, though it's slightly more concise and uses 'accessibility' which is marginally broader than the reference's 'communication channels.'""}"
3,P2,baseline,Customer Service Contact Information and Accessibility Issues,Customers unable to find contact information or communication channels for customer service,"{""faithfulness"": 5, ""specificity"": 4, ""equivalence"": 4, ""composite"": 4.333333333333333, ""reasoning"": ""The candidate label accurately captures the core issue of customers seeking ways to contact customer service, is appropriately specific without being overly narrow, and conveys essentially the same meaning as the reference label though with slightly different phrasing that emphasizes 'accessibility' alongside contact information.""}"
8,P4,baseline,Customer Support for Communication and Conversation Assistance with Representatives,Unable to reach or connect with a human agent or representative,"{""faithfulness"": 2, ""specificity"": 2, ""equivalence"": 1, ""composite"": 1.6666666666666667, ""reasoning"": ""The candidate label describes general customer support communication assistance, but the tickets specifically indicate customers cannot reach or connect with agents at all\u2014a critical distinction the candidate label misses entirely.""}"
8,P5,baseline,Requesting Human Support Assistance for Communication Issues,Requests to connect with a live support representative or agent,"{""faithfulness"": 2, ""specificity"": 2, ""equivalence"": 1, ""composite"": 1.6666666666666667, ""reasoning"": ""The candidate label mischaracterizes the tickets as being about 'communication issues' when they are actually straightforward requests to connect with a live support representative, making it both inaccurate and misleadingly vague about the core intent.""}"
3,P5,baseline,Customer Service Contact Information and Accessibility Issues,Customer service contact information and communication channel requests,"{""faithfulness"": 4, ""specificity"": 3, ""equivalence"": 3, ""composite"": 3.3333333333333335, ""reasoning"": ""The candidate label accurately captures the core issue (contact information requests) but introduces 'accessibility issues' which broadens the scope beyond what tickets explicitly show\u2014they're primarily asking how to contact customer service, not reporting accessibility problems, making it slightly less faithful and less equivalent to the reference while reducing specificity.""}"
7,P3,baseline,Customer Support for Chat or Voice Assistants,How to Contact or Reach an IT Support Assistant,"{""faithfulness"": 2, ""specificity"": 3, ""equivalence"": 1, ""composite"": 2.0, ""reasoning"": ""The candidate label mischaracterizes the tickets as being about support for chat/voice assistant products themselves, when the tickets are actually about how to contact support assistants\u2014a fundamentally different concept regarding access to support services rather than product features.""}"
8,P2,baseline,Difficulty with Communication with Customer Service Representatives,Customer unable to reach live agent or connect with support representative,"{""faithfulness"": 4, ""specificity"": 3, ""equivalence"": 3, ""composite"": 3.3333333333333335, ""reasoning"": ""The candidate label accurately captures the core issue of customers struggling to connect with support staff, but uses slightly more generic phrasing ('difficulty with communication') compared to the reference's more precise focus on inability to 'reach' or 'connect,' and is somewhat less specific about the barrier being access rather than communication quality.""}"
