cluster_id,prompt_id,model,generated_label,nonllm_metrics
7,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Support for Chat or Voice Assistants,"{""cosine_sim_same"": 0.5455319285392761, ""cosine_sim_multi"": 0.5550660490989685, ""rouge_l_same"": 0.25, ""rouge_l_multi"": 0.39999999999999997, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Difficulty Accessing Live Chat or Voice Assistant Support,"{""cosine_sim_same"": 0.5073845386505127, ""cosine_sim_multi"": 0.6257027387619019, ""rouge_l_same"": 0.19999999999999998, ""rouge_l_multi"": 0.23529411764705882, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
7,P5,meta-llama/Llama-3.2-3B-Instruct,Requesting Assistance with Chat or Voice Support Options,"{""cosine_sim_same"": 0.4691263437271118, ""cosine_sim_multi"": 0.5758581161499023, ""rouge_l_same"": 0.23529411764705882, ""rouge_l_multi"": 0.25, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Support for Difficulty with Verbal Communication with Representatives,"{""cosine_sim_same"": 0.6872837543487549, ""cosine_sim_multi"": 0.6872837543487549, ""rouge_l_same"": 0.35294117647058826, ""rouge_l_multi"": 0.35294117647058826, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P2,meta-llama/Llama-3.2-3B-Instruct,Difficulty with Communication with Customer Service Representatives,"{""cosine_sim_same"": 0.6668336391448975, ""cosine_sim_multi"": 0.6668336391448975, ""rouge_l_same"": 0.2222222222222222, ""rouge_l_multi"": 0.26666666666666666, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Service Phone Support Assistance Requests,"{""cosine_sim_same"": 0.5400131940841675, ""cosine_sim_multi"": 0.651772141456604, ""rouge_l_same"": 0.14285714285714288, ""rouge_l_multi"": 0.28571428571428575, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Support for Communication and Conversation Assistance with Representatives,"{""cosine_sim_same"": 0.49463289976119995, ""cosine_sim_multi"": 0.7823042869567871, ""rouge_l_same"": 0.19999999999999998, ""rouge_l_multi"": 0.35294117647058826, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P5,meta-llama/Llama-3.2-3B-Instruct,Requesting Human Support Assistance for Communication Issues,"{""cosine_sim_same"": 0.5823994278907776, ""cosine_sim_multi"": 0.6668287515640259, ""rouge_l_same"": 0.23529411764705882, ""rouge_l_multi"": 0.39999999999999997, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P1,meta-llama/Llama-3.2-3B-Instruct,Customer Inquiry about Tracking and Delivery Status of Orders,"{""cosine_sim_same"": 0.8028578162193298, ""cosine_sim_multi"": 0.8048302531242371, ""rouge_l_same"": 0.23529411764705882, ""rouge_l_multi"": 0.26666666666666666, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P2,meta-llama/Llama-3.2-3B-Instruct,Customer Inquiry about Tracking and Delivery Status,"{""cosine_sim_same"": 0.6881362795829773, ""cosine_sim_multi"": 0.8151097297668457, ""rouge_l_same"": 0.2857142857142857, ""rouge_l_multi"": 0.30769230769230765, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P3,meta-llama/Llama-3.2-3B-Instruct,Customer Order Delivery Tracking and Status Inquiry,"{""cosine_sim_same"": 0.8807739615440369, ""cosine_sim_multi"": 0.8807739615440369, ""rouge_l_same"": 0.6153846153846153, ""rouge_l_multi"": 0.6250000000000001, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P4,meta-llama/Llama-3.2-3B-Instruct,Customer Inquiry about Tracking and Estimated Delivery of Purchase or Product,"{""cosine_sim_same"": 0.7705879807472229, ""cosine_sim_multi"": 0.7705879807472229, ""rouge_l_same"": 0.3, ""rouge_l_multi"": 0.3, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P5,meta-llama/Llama-3.2-3B-Instruct,"Ticket cluster label: ""Order tracking and delivery arrival status inquiries""","{""cosine_sim_same"": 0.355502188205719, ""cosine_sim_multi"": 0.4727146625518799, ""rouge_l_same"": 0.4444444444444445, ""rouge_l_multi"": 0.5263157894736842, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
