cluster_id,prompt_id,model,generated_label,nonllm_metrics
8,P1,claude-haiku-4-5,Customer requests to connect with human support representative,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P2,claude-haiku-4-5,Customer unable to reach live agent or connect with support representative,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P3,claude-haiku-4-5,Unable to Connect with Support Agent or Representative,"{""cosine_sim_same"": 1.000000238418579, ""cosine_sim_multi"": 1.000000238418579, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P4,claude-haiku-4-5,Unable to reach or connect with a human agent or representative,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
8,P5,claude-haiku-4-5,Requests to connect with a live support representative or agent,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P1,claude-haiku-4-5,Order Delivery Status and Arrival Time Tracking Inquiries,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P2,claude-haiku-4-5,Order delivery status and arrival date tracking,"{""cosine_sim_same"": 1.0000001192092896, ""cosine_sim_multi"": 1.0000001192092896, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P3,claude-haiku-4-5,Order and Shipment Status Tracking Inquiry,"{""cosine_sim_same"": 0.9999999403953552, ""cosine_sim_multi"": 0.9999999403953552, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P4,claude-haiku-4-5,Order delivery status tracking and estimated arrival time inquiries,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
20,P5,claude-haiku-4-5,Order delivery status and estimated arrival time inquiry,"{""cosine_sim_same"": 1.0, ""cosine_sim_multi"": 1.0, ""rouge_l_same"": 1.0, ""rouge_l_multi"": 1.0, ""bertscore_f1_same"": null, ""bertscore_f1_multi"": null}"
